Rank,Player,Yds,First Year,Last Year,Tm,Pos,Seasons,Yds/Season,TDs,Rec Tds,Rush Tds,TDs/Season,Height (In),Receptions,Rec/Season,Rec Yds,Rec Yds/Season,HOF,HOF_Eligible
1,Emmitt Smith,18355,1990,2004,2TM,RB,15,1223.6666666667,175,11,164,11.6666666667,69,515,34.3333333333,3224,214.9333333333,Y,Y
2,Walter Payton,16726,1975,1987,chi,RB,13,1286.6153846154,125,15,110,9.6153846154,70,492,37.8461538462,4538,349.0769230769,Y,Y
3,Frank Gore,15347,2005,2019,4TM,RB,15,1023.1333333333,97,18,79,6.4666666667,69,468,31.2,3896,259.7333333333,N,N
4,Barry Sanders,15269,1989,1998,det,RB,10,1526.9,109,10,99,10.9,68,352,35.2,2921,292.1,Y,Y
5,Adrian Peterson,14216,2007,2019,4TM,RB,13,1093.5384615385,117,6,111,9,73,289,22.2307692308,2365,181.9230769231,N,N
6,Curtis Martin,14101,1995,2005,2TM,RB,11,1281.9090909091,100,10,90,9.0909090909,71,484,44,3329,302.6363636364,Y,Y
7,LaDainian Tomlinson,13684,2001,2011,2TM,RB,11,1244,162,17,145,14.7272727273,70,624,56.7272727273,4772,433.8181818182,Y,Y
8,Jerome Bettis,13662,1993,2005,2TM,RB,13,1050.9230769231,94,3,91,7.2307692308,71,200,15.3846153846,1457,112.0769230769,Y,Y
9,Eric Dickerson,13259,1983,1993,4TM,RB,11,1205.3636363636,96,6,90,8.7272727273,75,281,25.5454545455,2137,194.2727272727,Y,Y
10,Tony Dorsett,12739,1977,1988,2TM,RB,12,1061.5833333333,90,13,77,7.5,71,398,33.1666666667,3554,296.1666666667,Y,Y
11,Jim Brown,12312,1957,1965,cle,RB,9,1368,126,20,106,14,74,262,29.1111111111,2499,277.6666666667,Y,Y
12,Marshall Faulk,12279,1994,2005,2TM,RB,12,1023.25,136,36,100,11.3333333333,70,767,63.9166666667,6875,572.9166666667,Y,Y
13,Edgerrin James,12246,1999,2009,3TM,RB,11,1113.2727272727,91,11,80,8.2727272727,72,433,39.3636363636,3364,305.8181818182,Y,Y
14,Marcus Allen,12243,1982,1997,2TM,RB,16,765.1875,144,21,123,9,74,587,36.6875,5411,338.1875,Y,Y
15,Franco Harris,12120,1972,1984,2TM,RB,13,932.3076923077,100,9,91,7.6923076923,74,307,23.6153846154,2287,175.9230769231,Y,Y
16,Thurman Thomas,12074,1988,2000,2TM,RB,13,928.7692307692,88,23,65,6.7692307692,70,472,36.3076923077,4458,342.9230769231,Y,Y
17,Fred Taylor,11695,1998,2010,2TM,RB,13,899.6153846154,74,8,66,5.6923076923,73,290,22.3076923077,2384,183.3846153846,N,Y
18,Steven Jackson,11438,2004,2015,3TM,RB,12,953.1666666667,78,9,69,6.5,74,461,38.4166666667,3683,306.9166666667,N,N
19,John Riggins,11352,1971,1985,2TM,RB,15,756.8,116,12,104,7.7333333333,74,250,16.6666666667,2090,139.3333333333,Y,Y
20,Corey Dillon,11241,1997,2006,2TM,RB,10,1124.1,89,7,82,8.9,73,244,24.4,1913,191.3,N,Y
21,O.J. Simpson,11236,1969,1979,2TM,RB,11,1021.4545454546,75,14,61,6.8181818182,73,203,18.4545454545,2142,194.7272727273,Y,Y
22,LeSean McCoy,11071,2009,2019,3TM,RB,11,1006.4545454546,89,16,73,8.0909090909,71,503,45.7272727273,3797,345.1818181818,N,N
23,Warrick Dunn,10967,1997,2008,2TM,RB,12,913.9166666667,64,15,49,5.3333333333,69,510,42.5,4339,361.5833333333,N,Y
24,Ricky Watters,10643,1992,2001,3TM,RB,10,1064.3,91,13,78,9.1,73,467,46.7,4248,424.8,N,Y
25,Jamal Lewis,10607,2000,2009,2TM,RB,10,1060.7,62,4,58,6.2,71,221,22.1,1879,187.9,N,Y
26,Thomas Jones,10591,2000,2011,5TM,RB,12,882.5833333333,71,3,68,5.9166666667,70,308,25.6666666667,2023,168.5833333333,N,Y
27,Tiki Barber,10449,1997,2006,nyg,RB,10,1044.9,67,12,55,6.7,70,586,58.6,5183,518.3,N,Y
28,Eddie George,10441,1996,2004,2TM,RB,9,1160.1111111111,78,10,68,8.6666666667,75,268,29.7777777778,2227,247.4444444444,N,Y
29,Marshawn Lynch,10413,2007,2019,3TM,RB,13,801,94,9,85,7.2307692308,71,287,22.0769230769,2214,170.3076923077,N,N
30,Ottis Anderson,10273,1979,1992,2TM,RB,14,733.7857142857,86,5,81,6.1428571429,74,376,26.8571428571,3062,218.7142857143,N,Y
31,Ricky Williams,10009,1999,2011,3TM,RB,13,769.9230769231,74,8,66,5.6923076923,70,342,26.3076923077,2606,200.4615384615,N,Y
32,Clinton Portis,9923,2002,2010,2TM,RB,9,1102.5555555556,80,5,75,8.8888888889,71,247,27.4444444444,2018,224.2222222222,N,Y
33,Matt Forte,9796,2008,2017,2TM,RB,10,979.6,75,21,54,7.5,74,554,55.4,4672,467.2,N,N
34,Joe Perry,9723,1948,1963,2TM,RB,16,607.6875,83,12,71,5.1875,72,260,16.25,2021,126.3125,Y,Y
35,Chris Johnson,9651,2008,2017,3TM,RB,10,965.1,64,9,55,6.4,71,307,30.7,2255,225.5,N,N
36,Shaun Alexander,9453,2000,2008,2TM,RB,9,1050.3333333333,112,12,100,12.4444444444,71,215,23.8888888889,1520,168.8888888889,N,Y
37,Earl Campbell,9407,1978,1985,2TM,RB,8,1175.875,74,0,74,9.25,71,121,15.125,806,100.75,Y,Y
38,Ahman Green,9205,1998,2009,3TM,RB,12,767.0833333333,74,14,60,6.1666666667,72,378,31.5,2883,240.25,N,Y
39,Terry Allen,8614,1991,2001,5TM,RB,11,783.0909090909,79,6,73,7.1818181818,71,204,18.5454545455,1601,145.5454545455,N,Y
40,Jim Taylor,8597,1958,1967,2TM,RB,10,859.7,93,10,83,9.3,72,225,22.5,1756,175.6,Y,Y
41,Willis McGahee,8474,2004,2013,4TM,RB,10,847.4,70,5,65,7,72,210,21,1339,133.9,N,Y
42,Earnest Byner,8261,1984,1997,3TM,RB,14,590.0714285714,71,15,56,5.0714285714,70,512,36.5714285714,4605,328.9285714286,N,Y
43,Herschel Walker,8225,1986,1997,4TM,RB,12,685.4166666667,82,21,61,6.8333333333,73,512,42.6666666667,4859,404.9166666667,N,Y
44,Roger Craig,8189,1983,1993,3TM,RB,11,744.4545454545,73,17,56,6.6363636364,72,566,51.4545454545,4911,446.4545454545,N,Y
45,Gerald Riggs,8188,1982,1991,2TM,RB,10,818.8,69,0,69,6.9,73,201,20.1,1516,151.6,N,Y
46,Priest Holmes,8172,1997,2007,2TM,RB,11,742.9090909091,94,8,86,8.5454545455,69,339,30.8181818182,2962,269.2727272727,N,Y
47,Maurice Jones-Drew,8167,2006,2014,2TM,RB,9,907.4444444444,79,11,68,8.7777777778,67,346,38.4444444444,2944,327.1111111111,N,Y
48,DeAngelo Williams,8096,2006,2016,2TM,RB,11,736,70,9,61,6.3636363636,69,236,21.4545454545,2106,191.4545454545,N,N
49,Larry Csonka,8081,1968,1979,2TM,RB,12,673.4166666667,68,4,64,5.6666666667,75,106,8.8333333333,820,68.3333333333,Y,Y
50,Freeman McNeil,8074,1981,1992,nyj,RB,12,672.8333333333,50,12,38,4.1666666667,71,295,24.5833333333,2961,246.75,N,Y
51,Stephen Davis,8052,1996,2006,3TM,RB,11,732,69,4,65,6.2727272727,72,179,16.2727272727,1494,135.8181818182,N,Y
52,Garrison Hearst,7966,1993,2004,4TM,RB,12,663.8333333333,39,9,30,3.25,71,229,19.0833333333,2065,172.0833333333,N,Y
53,James Brooks,7962,1981,1992,4TM,RB,12,663.5,79,30,49,6.5833333333,70,383,31.9166666667,3621,301.75,N,Y
54,Chris Warren,7696,1990,2000,3TM,RB,11,699.6363636364,57,5,52,5.1818181818,74,273,24.8181818182,1935,175.9090909091,N,Y
55,Terrell Davis,7607,1995,2001,den,RB,7,1086.7142857143,65,5,60,9.2857142857,71,169,24.1428571429,1280,182.8571428571,Y,Y
56,Jamaal Charles,7563,2008,2018,3TM,RB,11,687.5454545455,64,20,44,5.8181818182,71,310,28.1818181818,2593,235.7272727273,N,N
57,Mike Pruitt,7378,1976,1986,3TM,RB,11,670.7272727273,56,5,51,5.0909090909,72,270,24.5454545455,1860,169.0909090909,N,Y
