Rank,Player,Yds,First Year,Last Year,Tm,Pos,Seasons,Yds/Season,TDs,TDs/Season,40 yd Dash,Height (In),Receptions,Rec/Season,HOF,HOF_Eligible
1,Jerry Rice,22895,1985,2004,3TM,WR,20,1144.75,197,9.85,4.71,74,1549,77.45,Y,Y
2,Larry Fitzgerald,17083,2004,2019,crd,WR,16,1067.6875,120,7.5,4.63,75,1378,86.125,N,N
3,Terrell Owens,15934,1996,2010,5TM,WR,15,1062.2666666667,153,10.2,4.45,75,1078,71.8666666667,Y,Y
4,Randy Moss,15292,1998,2012,5TM,WR,14,1092.2857142857,156,11.1428571429,4.25,76,982,70.1428571429,Y,Y
5,Isaac Bruce,15208,1994,2009,2TM,WR,16,950.5,91,5.6875,4.48,72,1024,64,Y,Y
6,Tony Gonzalez,15127,1997,2013,2TM,TE,17,889.8235294118,111,6.5294117647,4.49,77,1325,77.9411764706,Y,Y
7,Tim Brown,14934,1988,2004,2TM,WR,17,878.4705882353,100,5.8823529412,4.39,72,1094,64.3529411765,Y,Y
8,Steve Smith,14731,2001,2016,2TM,WR,16,920.6875,81,5.0625,4.39,69,1031,64.4375,N,N
9,Marvin Harrison,14580,1996,2008,clt,WR,13,1121.5384615385,128,9.8461538462,4.38,72,1102,84.7692307692,Y,Y
10,Reggie Wayne,14345,2001,2014,clt,WR,14,1024.6428571429,82,5.8571428571,4.45,72,1070,76.4285714286,N,Y
11,Andre Johnson,14185,2003,2016,3TM,WR,14,1013.2142857143,70,5,4.41,75,1062,75.8571428571,N,N
12,James Lofton,14004,1978,1993,5TM,WR,16,875.25,75,4.6875,4.29,75,764,47.75,Y,Y
13,Cris Carter,13899,1987,2002,3TM,WR,16,868.6875,130,8.125,4.63,75,1101,68.8125,Y,Y
14,Anquan Boldin,13779,2003,2016,4TM,WR,14,984.2142857143,82,5.8571428571,4.71,73,1076,76.8571428571,N,N
15,Henry Ellard,13777,1983,1998,3TM,WR,16,861.0625,65,4.0625,4.4,71,814,50.875,N,Y
16,Torry Holt,13382,1999,2009,2TM,WR,11,1216.5454545455,74,6.7272727273,4.38,72,920,83.6363636364,N,Y
17,Andre Reed,13198,1985,2000,2TM,WR,16,824.875,87,5.4375,4.4,74,951,59.4375,Y,Y
18,Steve Largent,13089,1976,1989,sea,WR,14,934.9285714286,100,7.1428571429,4.7,71,819,58.5,Y,Y
19,Jason Witten,12977,2003,2019,dal,TE,17,763.3529411765,72,4.2352941176,4.55,78,1215,71.4705882353,N,N
20,Irving Fryar,12785,1984,2000,4TM,WR,17,752.0588235294,84,4.9411764706,4.4,72,851,50.0588235294,N,Y
21,Art Monk,12721,1980,1995,3TM,WR,16,795.0625,68,4.25,4.45,75,940,58.75,Y,Y
22,Brandon Marshall,12351,2006,2018,6TM,WR,13,950.0769230769,83,6.3846153846,4.52,77,970,74.6153846154,N,N
23,Jimmy Smith,12287,1992,2005,2TM,WR,14,877.6428571429,67,4.7857142857,4.58,73,862,61.5714285714,N,Y
24,Charlie Joiner,12146,1969,1986,3TM,WR,18,674.7777777778,65,3.6111111111,4.5,71,750,41.6666666667,Y,Y
25,Julio Jones,12125,2011,2019,atl,WR,9,1347.2222222222,57,6.3333333333,4.39,75,797,88.5555555556,N,N
26,Hines Ward,12083,1998,2011,pit,WR,14,863.0714285714,85,6.0714285714,4.55,72,1000,71.4285714286,N,Y
27,Derrick Mason,12061,1997,2011,4TM,WR,15,804.0666666667,66,4.4,4.55,70,943,62.8666666667,N,Y
28,Michael Irvin,11904,1988,1999,dal,WR,11,1082.1818181818,65,5.9090909091,4.52,74,750,68.1818181818,Y,Y
29,Antonio Gates,11841,2003,2018,sdg,TE,16,740.0625,116,7.25,4.5,76,955,59.6875,N,N
30,Don Maynard,11834,1958,1973,3TM,WR,16,739.625,88,5.5,NA,72,633,39.5625,Y,Y
31,Calvin Johnson,11619,2007,2015,det,WR,9,1291,83,9.2222222222,4.35,77,731,81.2222222222,N,N
32,Muhsin Muhammad,11438,1996,2009,2TM,WR,14,817,62,4.4285714286,4.53,74,860,61.4285714286,N,Y
33,Rod Smith,11389,1995,2006,den,WR,12,949.0833333333,68,5.6666666667,NA,72,849,70.75,N,Y
34,Keenan McCardell,11373,1992,2007,5TM,WR,16,710.8125,63,3.9375,4.56,73,883,55.1875,N,Y
35,Antonio Brown,11263,2010,2019,2TM,WR,10,1126.3,80,8,4.47,70,841,84.1,N,N
36,Chad Johnson,11059,2001,2011,2TM,WR,11,1005.3636363636,67,6.0909090909,4.57,73,766,69.6363636364,N,Y
37,Joey Galloway,10950,1995,2010,5TM,WR,16,684.375,77,4.8125,4.18,71,701,43.8125,N,Y
38,Roddy White,10863,2005,2015,atl,WR,11,987.5454545455,63,5.7272727273,4.45,72,808,73.4545454545,N,N
39,Gary Clark,10856,1985,1995,3TM,WR,11,986.9090909091,65,5.9090909091,NA,69,699,63.5454545455,N,Y
40,Stanley Morgan,10716,1977,1990,2TM,WR,14,765.4285714286,72,5.1428571429,NA,71,557,39.7857142857,N,Y
41,Keyshawn Johnson,10571,1996,2006,4TM,WR,11,961,64,5.8181818182,4.47,76,814,74,N,Y
42,DeSean Jackson,10420,2008,2019,3TM,WR,12,868.3333333333,55,4.5833333333,4.35,70,598,49.8333333333,N,N
43,Harold Jackson,10372,1968,1983,5TM,WR,16,648.25,76,4.75,4.3,70,579,36.1875,N,Y
44,Santana Moss,10283,2001,2014,2TM,WR,14,734.5,66,4.7142857143,4.31,70,732,52.2857142857,N,Y
45,Lance Alworth,10266,1962,1972,2TM,WR,11,933.2727272727,85,7.7272727273,NA,72,542,49.2727272727,Y,Y
46,Andre Rison,10205,1989,2000,7TM,WR,12,850.4166666667,84,7,4.47,72,743,61.9166666667,N,Y
47,Donald Driver,10137,1999,2012,gnb,WR,14,724.0714285714,61,4.3571428571,NA,72,743,53.0714285714,N,Y
48,Shannon Sharpe,10060,1990,2003,2TM,TE,14,718.5714285714,62,4.4285714286,4.67,74,815,58.2142857143,Y,Y
49,Eric Moulds,9995,1996,2007,3TM,WR,12,832.9166666667,49,4.0833333333,4.51,74,764,63.6666666667,N,Y
50,Wes Welker,9924,2004,2015,5TM,WR,12,827,50,4.1666666667,4.65,69,903,75.25,N,N
51,Drew Hill,9831,1979,1993,3TM,WR,15,655.4,60,4,NA,69,634,42.2666666667,N,Y
52,Demaryius Thomas,9763,2010,2019,3TM,WR,10,976.3,63,6.3,4.38,75,724,72.4,N,N
53,Marques Colston,9759,2006,2015,nor,WR,10,975.9,72,7.2,4.5,76,711,71.1,N,N
54,Amani Toomer,9497,1996,2008,nyg,WR,13,730.5384615385,54,4.1538461538,4.5,75,668,51.3846153846,N,Y
55,Rob Moore,9368,1990,1999,2TM,WR,10,936.8,49,4.9,NA,75,628,62.8,N,Y
56,Raymond Berry,9275,1955,1967,clt,WR,13,713.4615384615,68,5.2307692308,4.8,74,631,48.5384615385,Y,Y
57,Herman Moore,9174,1991,2002,2TM,WR,12,764.5,62,5.1666666667,NA,76,670,55.8333333333,N,Y
58,Anthony Miller,9148,1988,1997,3TM,WR,10,914.8,63,6.3,4.38,71,595,59.5,N,Y
59,Charley Taylor,9110,1964,1977,was,WR,14,650.7142857143,79,5.6428571429,NA,75,649,46.3571428571,Y,Y
60,Vincent Jackson,9080,2005,2016,2TM,WR,12,756.6666666667,57,4.75,4.46,77,540,45,N,N
61,Tony Martin,9065,1990,2001,3TM,WR,12,755.4166666667,56,4.6666666667,NA,73,593,49.4166666667,N,Y
62,Harold Carmichael,8985,1971,1984,2TM,WR,14,641.7857142857,79,5.6428571429,4.6,80,590,42.1428571429,Y,Y
63,Fred Biletnikoff,8974,1965,1978,rai,WR,14,641,76,5.4285714286,4.7,73,589,42.0714285714,Y,Y
64,Mark Clayton,8974,1983,1993,2TM,WR,11,815.8181818182,84,7.6363636364,NA,69,582,52.9090909091,N,Y
65,Wes Chandler,8966,1978,1988,3TM,WR,11,815.0909090909,56,5.0909090909,NA,72,559,50.8181818182,N,Y
66,Roy Green,8965,1979,1992,2TM,WR,14,640.3571428571,66,4.7142857143,4.2,72,559,39.9285714286,N,Y
67,A.J. Green,8907,2011,2018,cin,WR,8,1113.375,63,7.875,4.5,76,602,75.25,N,N
68,Ricky Proehl,8878,1990,2006,6TM,WR,17,522.2352941176,54,3.1764705882,4.58,72,669,39.3529411765,N,Y
69,Mark Duper,8869,1982,1992,mia,WR,11,806.2727272727,59,5.3636363636,4.28,69,511,46.4545454545,N,Y
